,id,time,tweet,language,hashtags,cashtags,thumbnail,source,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1314463232799563776,12:40:30,Corona season comming soon!!!!! @ Union Place  https://t.co/uMqO7RXJsk,en,[],[],,,,,[],,,,
1,1240137433057984512,10:16:19,Corona Holidays be like 👀  https://t.co/mBo1FYhQSR,en,[],[],https://pbs.twimg.com/media/ETXaaGwWAAA4Pgf.jpg,,,,[],,,,
2,1238694003874422784,10:40:39,The_beginning_of_corona_vacation ;-) 😁 On_the_way_to_home 😎 @ Pettah Bus Stand  https://t.co/VzizcsuByZ,en,[],[],,,,,[],,,,
3,1226173869117071360,21:30:06,අවදානමට පෙර සූදානම 😔 #Coronavius #corona #lka #SriLanka  https://t.co/cJcrbaHc4C,si,"['coronavius', 'corona', 'lka', 'srilanka']",[],https://pbs.twimg.com/media/EQQ-niDX0AENnvi.jpg,,,,[],,,,
4,566255648091152384,20:50:41,Drinking Corona! Hell Yeah! #Corona #FeelingGreat #Keg #BestBuddies @ The Keg Pub &amp; Restaurant  http://t.co/evT3BtmoGB,en,"['corona', 'feelinggreat', 'keg', 'bestbuddies']",[],,,,,[],,,,
5,216182727819534336,20:25:53,"Two Russian girls pretending to be Mexicans walk up to our table and say ""good night! Today we are having corona night"" #fb",en,['fb'],[],,,,,[],,,,
6,216136256256618496,17:21:13,Watch the Dream Team talk about Corona and more at HITB  http://t.co/dudy2X55,en,[],[],,,,,[],,,,
7,216136050656030720,17:20:24,Check Out Dream Team Talking About Corona And Absinthe Jailbreak At HITB [Video] #iPhone #Apple #Absinthe  http://t.co/4BFJhDBg,en,"['iphone', 'apple', 'absinthe']",[],,,,,[],,,,
8,1354055568176996353,18:46:19,@Hafsa_1028 mehe baratama Corona. kaden kama baha.. apita nam unsuccessful!,tl,[],[],,,,,"[{'screen_name': 'Hafsa_1028', 'name': 'Ⓛⓐⓦⓨⓔⓡ💌 ⓣⓞ💖 ⓑⓔ', 'id': '1136709047145492481'}]",,,,
9,1354050800046272517,18:27:22,"#Corona. நாட்டில் மேலும் 369 பேருக்கு கொரோனா தொற்று உறுதி, மொத்த நோயாளிகளின் எண்ணிக்கை 59 ஆயிரத்து 536 ஆக உயர்வு",ta,['corona'],[],,,,,[],,,,
10,1354050287464538112,18:25:20,"369 COVID-19 cases detected in Sri Lanka thus far today, bringing the total number of cases to 59,536 &amp; active infection count to 8,203. #SriLanka #LKA #Covid_19 #COVID19 #Corona",en,"['srilanka', 'lka', 'covid_19', 'covid19', 'corona']",[],,,,,[],,,,
11,1354035692062572545,17:27:20,"Corona variant spreading in Germany &amp; Switzerland, but different to the UK strain identified by research at the University of Sri Jayawardenapura",en,[],[],,,,,[],,,,
12,1354000548857585665,15:07:41,Clinical trials of 'Dhammika Syrup' still underway - @MoH_SriLanka    https://t.co/Wn9QxvvgK9   #lka #SriLanka #COVID19SL #COVID19LK #Covid_19 #coronavirus #Corona,en,"['lka', 'srilanka', 'covid19sl', 'covid19lk', 'covid_19', 'coronavirus', 'corona']",[],,,,,[],,,,
13,1353963966859456512,12:42:19,Three drivers test positive for Covid-19    https://t.co/yI3qTrIP5E   #lka #SriLanka #COVID19SL #COVID19LK #Corona #coronavirus #Covid_19 #COVID19,en,"['lka', 'srilanka', 'covid19sl', 'covid19lk', 'corona', 'coronavirus', 'covid_19', 'covid19']",[],,,,,[],,,,
14,1353874050980982784,06:45:02,@MoH_SriLanka says 54% of public ready to accept Covid  vaccine    https://t.co/TSDICz3mTF   #lka #SriLanka #COVID19SL #COVID19LK #COVID19 #Corona #COVID #vaccinationCovid #CovidVaccine,en,"['lka', 'srilanka', 'covid19sl', 'covid19lk', 'covid19', 'corona', 'covid', 'vaccinationcovid', 'covidvaccine']",[],,,,,[],,,,
