id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1361537562792185856	1361414982131458051	2021-02-16 10:17:05 Sri Lanka Standard Time	2021-02-16	10:17:05	+0530	48266796	bmann7209	BOB MANN		@newsmax Cuomo intentionally moved sick to nursing homes.Dems had to get the death rates up to scare Americans into the Trump blame game and to shutdown. They did not have to be moved to nursing homes! as hospitals not full.Central Park and medical ships  sent by Trump were empty	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/BMANN7209/status/1361537562792185856	False		0								[{'screen_name': 'newsmax', 'name': 'Newsmax', 'id': '20545835'}]				
1361537557289443331	1361537557289443331	2021-02-16 10:17:04 Sri Lanka Standard Time	2021-02-16	10:17:04	+0530	1358618569131651073	amivixen	Ami		Scratch that it's two. Friendship ended with BOT. Now EMPTY VOID is my best friend.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/AmiVixen/status/1361537557289443331	False		0								[]				
1361537510250315776	1361537346869612544	2021-02-16 10:16:53 Sri Lanka Standard Time	2021-02-16	10:16:53	+0530	1219318968722300928	josquecho1	empty soul		@dariasarc aksjaksjaksjkjkAKJSK XDDDDD siiiiii XDDD	it	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/JosQuecho1/status/1361537510250315776	False		0								[{'screen_name': 'dariasarc', 'name': '✧♡bichota enamorada♡✧', 'id': '1050475409987514371'}]				
1361537509667135491	1361537509667135491	2021-02-16 10:16:53 Sri Lanka Standard Time	2021-02-16	10:16:53	+0530	1104962858402512896	empty_ifif	empty/ifif		(♡) ハートグミ アクセサリーセット  パステルピンクとパステルブルーがとても可愛いピアスorイヤリング＆リングの2点セットです♡  2/21 #おうちdeかまくらマーケット から販売開始します⁽⁽ ◟(灬 ˊωˋ 灬)◞ ⁾⁾  3/1～ キャラメルキューブショコラ様 委託販売  #レジン #minne #キャラメル_創作  https://t.co/SWXXF3eDBH	ja	[]	[]	['https://pbs.twimg.com/media/EuUnH79VgAQoQYZ.jpg', 'https://pbs.twimg.com/media/EuUnH8RU4AEqjN1.jpg', 'https://pbs.twimg.com/media/EuUnH8QVEAAxnVY.jpg', 'https://pbs.twimg.com/media/EuUnH8RVoAInUHk.jpg']	0	0	0	['おうちdeかまくらマーケット', 'レジン', 'minne', 'キャラメル_創作']	[]	https://twitter.com/empty_ifif/status/1361537509667135491	False		1	https://pbs.twimg.com/media/EuUnH79VgAQoQYZ.jpg							[]				
1361537508270432259	1361536503843721225	2021-02-16 10:16:52 Sri Lanka Standard Time	2021-02-16	10:16:52	+0530	45937219	muffintvb42	dumpster communist		I wanted “omg my mom does a similar thing all the time”  So instead getting “that sucks” just feels really empty to me to the point of questioning our whole relationship	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/MuffinTVB42/status/1361537508270432259	False		0								[]				
1361537508190912513	1361492605205364746	2021-02-16 10:16:52 Sri Lanka Standard Time	2021-02-16	10:16:52	+0530	1193397846495637505	ladylurid1	no jokes, head empty🍁🏴		@kenklippenstein @yesthatCarlo Music man ass scam	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ladylurid1/status/1361537508190912513	False		0								[{'screen_name': 'kenklippenstein', 'name': 'Ken Klippenstein', 'id': '1634248890'}, {'screen_name': 'yesthatCarlo', 'name': 'Carlo', 'id': '2940185200'}]				
1361537503161839617	1361537503161839617	2021-02-16 10:16:51 Sri Lanka Standard Time	2021-02-16	10:16:51	+0530	1698141	darkmane	Sean Chitwood		Seeing articles about Texas dealing with the cold and wondering how many selfish outside are going 'Muh Freedom!', whether it's turning up their heat or letting the lights on in a mostly empty 18 story office building	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/darkmane/status/1361537503161839617	False		0								[]				
1361537488997601282	1361537488997601282	2021-02-16 10:16:48 Sri Lanka Standard Time	2021-02-16	10:16:48	+0530	1289154831861477376	ursexyenby	plague ૮꒰˵• ﻌ •˵꒱ა		why does this shit keep happening to me pls 3 dudes came into the restaurant aND SAT DOWN BASICALLY NEXT TO MEEEJEJ AND THE WHOLE PLACE JS EMPTY ASF PLEASEKEKEODMDBDB	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ursexyenby/status/1361537488997601282	False		0								[]				
1361537468189859849	1361501686464831491	2021-02-16 10:16:43 Sri Lanka Standard Time	2021-02-16	10:16:43	+0530	1155904860933541890	vectorempty	EmptyVector		@fudo_monsuta @NISAmerica I am playing through 6 right now. Imported a Japanese copy on the ps4. Its why I still have my Vita and Ps3 so I can play disgaea 3 and D2.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/VectorEmpty/status/1361537468189859849	False		0								[{'screen_name': 'fudo_monsuta', 'name': 'Fudo', 'id': '2649920467'}, {'screen_name': 'NISAmerica', 'name': 'NISAmerica', 'id': '68489492'}]				
1361537456579874817	1361537456579874817	2021-02-16 10:16:40 Sri Lanka Standard Time	2021-02-16	10:16:40	+0530	246150425	empty_____half	空半		グプナされた時点で死んでる説	ja	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/empty_____half/status/1361537456579874817	False		0								[]				
