,vader_sentiment_label,vader_score,clean_tweet
0,0,0.0,Corona season comming soon!!!!! @ Union Place https://t.co/uMqO7RXJsk
1,1,0.6249,Corona Holidays like 👀 https://t.co/mBo1FYhQSR
2,1,0.7906,The_beginning_of_corona_vacation ;-) 😁 On_the_way_to_home 😎 @ Pettah Bus Stand https://t.co/VzizcsuByZ
3,1,0.0772,අවදානමට පෙර සූදානම 😔 #Coronavius #corona #lka #SriLanka https://t.co/cJcrbaHc4C
4,0,-0.6103,Drinking Corona! Hell Yeah! #Corona #FeelingGreat #Keg #BestBuddies @ The Keg Pub &amp; Restaurant http://t.co/evT3BtmoGB
5,1,0.5562,"Two Russian girls pretending Mexicans walk table say ""good night! Today corona night"" #fb"
6,1,0.25,Watch Dream Team talk Corona HITB http://t.co/dudy2X55
7,1,0.25,Check Out Dream Team Talking About Corona And Absinthe Jailbreak At HITB [Video] #iPhone #Apple #Absinthe http://t.co/4BFJhDBg
8,0,-0.4199,@Hafsa_1028 mehe baratama Corona. kaden kama baha.. apita nam unsuccessful!
9,0,0.0,"#Corona. நாட்டில் மேலும் 369 பேருக்கு கொரோனா தொற்று உறுதி, மொத்த நோயாளிகளின் எண்ணிக்கை 59 ஆயிரத்து 536 ஆக உயர்வு"
10,1,0.5095,"369 COVID-19 cases detected Sri Lanka thus far today, bringing total number cases 59,536 &amp; active infection count 8,203. #SriLanka #LKA #Covid_19 #COVID19 #Corona"
11,0,-0.0516,"Corona variant spreading Germany &amp; Switzerland, different UK strain identified research University Sri Jayawardenapura"
12,0,0.0,Clinical trials 'Dhammika Syrup' still underway - @MoH_SriLanka https://t.co/Wn9QxvvgK9 #lka #SriLanka #COVID19SL #COVID19LK #Covid_19 #coronavirus #Corona
13,1,0.5574,Three drivers test positive Covid-19 https://t.co/yI3qTrIP5E #lka #SriLanka #COVID19SL #COVID19LK #Corona #coronavirus #Covid_19 #COVID19
14,1,0.6249,@MoH_SriLanka says 54% public ready accept Covid vaccine https://t.co/TSDICz3mTF #lka #SriLanka #COVID19SL #COVID19LK #COVID19 #Corona #COVID #vaccinationCovid #CovidVaccine
15,0,0.0,"@quhl5 Wir haben hier eine Pension, aber wegen Corona ist natürlich seit fast einem Jahr alles zu."
16,0,0.0,#SriLanka: Is The Heta Nama Lakshaya (Sixty-Nine Lakhs) Fizzling Out? #srilankan #Muslims #lanka #lka #COVID19 #COVID19LK #coronavirus #corona https://t.co/FYxrUj20wP https://t.co/jn604S7gLE
17,1,0.6369,"Sticking #Science Best Way Beat Superstition, Politricks, #Corona Communal #Viruses . #srilanka #colombo #lanka #lka #COVID19 #Covid_19 https://t.co/bGGuSzu4dh https://t.co/y3sNwMfsem"
